,acc_train,acc_test,auc_test,epoch
0,54,61,0.6222493103227048,0
1,62,68,0.6530121254891897,1
2,68,68,0.6845127349714506,2
3,71,63,0.6587540899467506,3
4,72,64,0.6545839481619299,4
5,72,67,0.6437255405145313,5
6,75,65,0.6781933662667607,6
7,78,57,0.6262269840251491,7
8,81,68,0.6759799833194328,8
9,83,68,0.6890998909347532,9
10,85,67,0.6774074549303907,10
