,acc_train,acc_test,auc_test,epoch
0,54,62,0.5917270802591904,0
1,64,65,0.6372938987617887,1
2,67,52,0.5848303073073715,2
3,69,58,0.6173574132289729,3
4,72,62,0.6398441008532751,4
5,77,72,0.6959485468659781,5
