,loss_train,dice,iou,epoch
0,9.937449768185616,0.004845012910664082,0.0024283892439515725,0
1,3.863080875016749,0.0029282744508236647,0.0014662840664966183,1
2,3.289291621185839,0.0023695756681263447,0.0011861932213606888,2
3,3.1091057835146785,0.002130887471139431,0.0010665801166735084,3
4,3.0786145692691207,0.0024720702785998583,0.0012375648128958295,4
5,2.968929832801223,0.0017272309632971883,0.000864361958017286,5
6,2.9217036878690124,0.0019143074750900269,0.0009580707585523944,6
7,2.8798582535237074,0.0019018339226022363,0.0009518220650469119,7
8,2.76525064278394,0.001636700937524438,0.000819020714748059,8
9,2.7263581044971943,0.0014621292939409614,0.0007315994934959171,9
