,loss_train,dice,iou,epoch
0,77.6076931655407,0.0014121482381597161,0.0007065730119968694,0
1,57.885880529880524,0.0009898460702970624,0.0004951681052500904,1
2,53.217004626989365,0.00024374527856707573,0.00012188749403413146,2
3,51.7787214666605,0.0006442211451940238,0.00032221436124941295,3
4,50.4266811311245,0.0012194672599434853,0.0006101056318933432,4
5,50.198581889271736,0.0012568741803988814,0.0006288322717225056,5
6,49.24528816342354,0.0009638343472033739,0.0004821495297403128,6
7,48.96673798561096,0.0006246348493732512,0.00031241499733402646,7
8,47.83994449675083,0.0006856279214844108,0.0003429315224556818,8
9,47.88490529358387,0.0008961937855929136,0.0004482977736358706,9
